Date,Product,Customer_Category,,,
01/04/2023,"['Cooking Oil', 'Insect Repellent', 'Orange', 'Milk','Rice','Dhal']",Teenager,,,
01/04/2023,"['Coffee','Biscuit', 'Banana', 'Paper Towel For Faces', 'Onions', 'Body wash']",Middle-Aged,,,
01/04/2023,"['Air Freshener', 'Jam','Bread', 'Wheat Flour','Rice','Dhal']",Middle-Aged,,,
01/04/2023,['Peanut Butter'],Homemaker,,,
01/04/2023,"['Apple', 'Trash Bags', 'Broom', Salt]",Teenager,,,
01/04/2023,"['Cheese', 'Laundry Detergent', 'Tissues', 'Saftey Razor Blade']",Middle-Aged,,,
01/04/2023,"['Tomatoes', 'Spices','Rice','Dhal']",Senior Citizen,,,
01/04/2023,"['Cooking Oil', 'Kambu Rice']",Middle-Aged,,,
01/04/2023,"['Tissues', 'Chips']",Senior Citizen,,,
01/04/2023,"[Salt, 'Air Freshener', 'Laundry Detergent', 'Milk', 'Olive Oil']",Young Adult,,,
01/04/2023,"['Cooking Oil', 'Baby Wipes']",Senior Citizen,,,
01/04/2023,"['Sugar', 'Rice','Spices', 'Cheese', 'Laundry Detergent']",Senior Citizen,,,
01/04/2023,['Yogurt'],Middle-Aged,,,
01/04/2023,"['Onions', 'Hand Sanitizer', 'Chips']",Homemaker,,,
01/04/2023,"['Honey', 'Toothpaste',  'Tongue Cleaner', 'Carrots']",Homemaker,,,
01/04/2023,"['Tissues', 'Broom']",Teenager,,,
01/04/2023,"['Banana', 'Baby Wipes', 'Paper Towel For Faces', 'Cheese']",Middle-Aged,,,
01/04/2023,"['Olive Oil', 'Sugar']",Young Adult,,,
01/04/2023,"['Cleaner', 'Cereal Bars']",Middle-Aged,,,
01/04/2023,"['Dishwash scrubber','Rice','Dhal']",Homemaker,,,
01/04/2023,"['Spinach', 'Cleaning Spray', 'Tissues', 'Banana', 'Tea','Biscuit']",Homemaker,,,
01/04/2023,"[Salt, 'Mustard', 'Toilet Freshner','Rice','Dhal']",Middle-Aged,,,
01/04/2023,"['Laundry Detergent', 'Chocolate']",Senior Citizen,,,
01/04/2023,"['Feminine Hygiene Products','Paper Towel for Faces']",Senior Citizen,,,
01/04/2023,"['Tea','Biscuit', 'Spinach', 'Mustard', 'Cooking Oil', 'Peanut Butter']",Middle-Aged,,,
01/04/2023,"['Onions', 'Toothpaste',  'Tongue Cleaner', 'Hand Sanitizer', 'Shaving Cream']",Senior Citizen,,,
01/04/2023,"['Tea','Biscuit']",Middle-Aged,,,
01/04/2023,"['Diapers', 'Dishwash scrubber']",Senior Citizen,,,
01/04/2023,"['Light Bulbs', 'Hair Gel', 'Orange', 'Cleaning Spray', 'Yogurt']",Middle-Aged,,,
01/04/2023,"['Air Freshener', 'Ketchup', 'Tissues', 'Trash Bags']",Young Adult,,,
01/04/2023,"['Rice','Dhal','Spices']",Young Adult,,,
01/04/2023,"['Insect Repellent', 'Kambu Rice', 'Black pepper']",Homemaker,,,
01/04/2023,"['Cleaning Spray', 'Shampoo', 'Paper Towel For Faces', 'Cereal Bars']",Homemaker,,,
01/04/2023,"['Laundry Detergent', 'Wheat Rava', 'Stationery', 'Paper Towel For Faces']",Young Adult,,,
01/04/2023,"['Dhal', 'Nuts', 'Tissues', 'Cereal Bars']",Teenager,,,
01/04/2023,"['Cereal Bars', 'Feminine Hygiene Products','Paper Towel for Faces']",Teenager,,,
02/04/2023,"['Rice','Dhal','Spices']",Homemaker,,,
02/04/2023,"['Hair Gel', 'Wheat Rava']",Senior Citizen,,,
02/04/2023,"['Cleaning Spray', 'Coconut oil', 'Honey', 'Toilet Freshner']",Senior Citizen,,,
02/04/2023,"[Salt, 'Stationery', 'Carrots']",Young Adult,,,
02/04/2023,"['Body wash', 'Tea','Biscuit','Ice Cream']",Teenager,,,
02/04/2023,"['Shampoo', Salt, 'Light Bulbs', 'Potatoes', 'Power Strips']",Senior Citizen,,,
02/04/2023,"['Pickles', 'Toothpaste',  'Tongue Cleaner', 'Spinach', 'Vegetables', 'Peanut Butter']",Young Adult,,,
02/04/2023,"['Deodorant', 'Banana', 'Apple', 'Tomatoes', 'Laundry Detergent']",Teenager,,,
02/04/2023,"['Toothbrush', 'Spinach', 'Body wash', 'Tissues']",Senior Citizen,,,
02/04/2023,"['Milk', 'Cooking Oil','Ice Cream']",Young Adult,,,
02/04/2023,"['Banana','Ice Cream']",Homemaker,,,
02/04/2023,"['Carrots', 'Paper Towel For Faces']",Senior Citizen,,,
02/04/2023,"['Onions', 'Soap', 'Cleaner', 'Chips']",Senior Citizen,,,
02/04/2023,"['Wheat Rava', 'Sugar']",Teenager,,,
02/04/2023,"['Cheese', 'Light Bulbs','Rice','Dhal']",Teenager,,,
02/04/2023,['Saftey Razor Blade'],Senior Citizen,,,
02/04/2023,"['Bread', 'Sugar', 'Orange', 'Sugar']",Teenager,,,
02/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Soap']",Middle-Aged,,,
02/04/2023,"['Soap', 'Chips']",Middle-Aged,,,
02/04/2023,['Dishwash scrubber'],Young Adult,,,
02/04/2023,['Potatoes'],Young Adult,,,
02/04/2023,"['Insect Repellent', 'Chips', 'Diapers', 'Banana']",Senior Citizen,,,
02/04/2023,"['Hand Sanitizer', 'Wheat Rava', 'Carrots']",Teenager,,,
02/04/2023,"['Rice','Spices','Dhal']",Teenager,,,
02/04/2023,"['Baby Wipes', 'Toothpaste',  'Tongue Cleaner', 'Deodorant', 'Paper Towel For Faces', 'Light Bulbs']",Young Adult,,,
02/04/2023,"['Dhal', 'Black pepper', 'Jam','Bread']",Teenager,,,
02/04/2023,"['Wheat Rava', 'Dustpan', 'Paper Towel For Faces']",Young Adult,,,
02/04/2023,"['Paper Towel For Faces', 'Kambu Rice']",Young Adult,,,
02/04/2023,"['Vinegar', 'Diapers']",Senior Citizen,,,
02/04/2023,"['Banana', 'Stationery','Rice','Dhal']",Senior Citizen,,,
02/04/2023,"['Soap','Ice Cream']",Middle-Aged,,,
02/04/2023,['Wheat Flour'],Teenager,,,
02/04/2023,"['Olive Oil', 'Soap', 'Ketchup', 'Wheat Rava']",Middle-Aged,,,
02/04/2023,"['Eggs', 'Power Strips', 'Peanut Butter', 'Coffee','Biscuit']",Young Adult,,,
02/04/2023,"['Nuts', 'Dhal','Rice']",Teenager,,,
02/04/2023,"['Dhal', 'Hair Gel']",Middle-Aged,,,
02/04/2023,"['Semiya', 'Bread', 'Carrots', 'Toothbrush', 'Peanut Butter']",Homemaker,,,
02/04/2023,['Saftey Razor Blade'],Young Adult,,,
02/04/2023,"['Broom', 'Toothbrush', 'Feminine Hygiene Products','Paper Towel for Faces', 'Dishwash scrubber']",Middle-Aged,,,
02/04/2023,"['Mustard', 'Light Bulbs']",Homemaker,,,
02/04/2023,"['Apple','Ice Cream']",Middle-Aged,,,
02/04/2023,"['Rice','Dhal','Spices']",Middle-Aged,,,
02/04/2023,"['Light Bulbs', 'Dishwash scrubber', 'Tomatoes', 'Tissues', 'Spices']",Senior Citizen,,,
02/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Nuts']",Senior Citizen,,,
02/04/2023,"['Bread','Ice Cream']",Teenager,,,
02/04/2023,"['Soap', 'Mustard', 'Cleaner']",Middle-Aged,,,
02/04/2023,"['Cooking Oil','Rice','Dhal']",Senior Citizen,,,
02/04/2023,['Ice Cream'],Middle-Aged,,,
02/04/2023,"['Soda', 'Air Freshener', 'Honey']",Teenager,,,
02/04/2023,"['Shaving Cream','Razor']",Senior Citizen,,,
02/04/2023,"['Hand Sanitizer', 'Mop']",Young Adult,,,
02/04/2023,"['Shaving Cream', 'Yogurt', 'Soap', 'Shower Gel']",Senior Citizen,,,
02/04/2023,"['Carrots', 'Orange', 'Rice','Dhal','Vinegar']",Middle-Aged,,,
02/04/2023,['Cleaner'],Homemaker,,,
02/04/2023,"['Insect Repellent', 'Dustpan']",Young Adult,,,
02/04/2023,"['Light Bulbs', 'Ragi Malt', 'Onions', 'Deodorant', 'Cleaning Spray']",Young Adult,,,
02/04/2023,"['Soda', 'Plant Fertilizer', 'Toothpaste',  'Tongue Cleaner', 'Ice Cream']",Young Adult,,,
02/04/2023,"['Sugar', 'Ragi Malt', 'Laundry Detergent', 'Orange']",Teenager,,,
02/04/2023,"['Pasta', 'Black pepper', 'Spices']",Senior Citizen,,,
02/04/2023,"['Cleaning Spray', 'Pasta']",Middle-Aged,,,
02/04/2023,"['Milk', 'Carrots','Rice','Dhal']",Middle-Aged,,,
02/04/2023,"['Vinegar', 'Bread']",Young Adult,,,
02/04/2023,"[Salt, 'Shaving Cream', 'Cereal Bars', 'Olive Oil']",Middle-Aged,,,
02/04/2023,"['Paper Towel For Faces', 'Black pepper']",Middle-Aged,,,
02/04/2023,"['Milk', 'Cooking Oil','Ice Cream']",Homemaker,,,
02/04/2023,"['Nuts', 'Spinach', 'Chocolate', 'Body wash', 'Cereal Bars']",Young Adult,,,
02/04/2023,"['Carrots','Ice Cream']",Homemaker,,,
02/04/2023,"['Nuts', 'Spinach']",Middle-Aged,,,
02/04/2023,['Ketchup'],Senior Citizen,,,
02/04/2023,"['Feminine Hygiene Products','Paper Towel for Faces']",Teenager,,,
02/04/2023,"['Ragi Malt','Rice','Dhal']",Middle-Aged,,,
02/04/2023,"['Dish Soap', 'Cereal']",Young Adult,,,
02/04/2023,"['Hand Sanitizer', 'Coconut oil', 'Potatoes']",Homemaker,,,
02/04/2023,"['Cleaning Spray', 'Vegetables']",Young Adult,,,
02/04/2023,"['Baby Wipes', 'Juices','Chips', 'Toilet Freshner', 'Apple', 'Milk']",Middle-Aged,,,
02/04/2023,"['Ketchup', 'Cereal', 'Yogurt', 'Tomatoes']",Young Adult,,,
02/04/2023,"['Toothbrush', 'Tea','Biscuit']",Senior Citizen,,,
02/04/2023,['Deodorant'],Middle-Aged,,,
02/04/2023,"['Shower Gel', 'Tissues', 'Tomatoes']",Middle-Aged,,,
02/04/2023,"['Shampoo', 'Hand Sanitizer']",Young Adult,,,
02/04/2023,"['Honey', 'Mop', 'Dish Soap']",Young Adult,,,
02/04/2023,"['Deodorant', 'Dish Soap', 'Soda', 'Air Freshener', 'Bread']",Senior Citizen,,,
02/04/2023,"[Salt, 'Wheat Flour']",Senior Citizen,,,
02/04/2023,"['Cleaner', 'Milk', 'Milk']",Young Adult,,,
02/04/2023,"['Paper Towel For Faces', 'Nuts', 'Feminine Hygiene Products','Paper Towel for Faces', 'Chips', 'Light Bulbs']",Teenager,,,
02/04/2023,"['Vegetables', 'Dhal', 'Potatoes', 'Cheese']",Young Adult,,,
02/04/2023,"['Peanut Butter', 'Onions']",Homemaker,,,
02/04/2023,"['Cereal', 'Vinegar', 'Laundry Detergent', 'Kambu Rice']",Young Adult,,,
02/04/2023,"['Hair Gel', 'Nuts', 'Spinach', 'Tomatoes', 'Body wash']",Young Adult,,,
02/04/2023,"['Milk','Ice Cream']",Homemaker,,,
02/04/2023,"['Tomatoes', 'Stationery', 'Body wash', 'Vinegar', 'Wheat Flour']",Young Adult,,,
02/04/2023,['Cereal Bars'],Senior Citizen,,,
02/04/2023,"['Pickles', 'Wheat Flour', 'Body wash', 'Kambu Rice']",Senior Citizen,,,
02/04/2023,"['Ketchup', 'Cleaner', 'Cooking Oil', 'Cooking Oil', 'Trash Bags']",Teenager,,,
02/04/2023,"['Black pepper', 'Dhal']",Middle-Aged,,,
02/04/2023,['Toothbrush'],Senior Citizen,,,
03/04/2023,"['Cleaner', 'Diapers', 'Juices','Chips', 'Body wash']",Senior Citizen,,,
03/04/2023,"['Cooking Oil', 'Chips', 'Mustard']",Senior Citizen,,,
03/04/2023,"['Shampoo', 'Honey']",Teenager,,,
03/04/2023,"['Vinegar', 'Dish Soap']",Homemaker,,,
03/04/2023,"['Air Freshener', 'Semiya', 'Ice Cream', 'Vegetables']",Teenager,,,
03/04/2023,"['Mop', 'Power Strips']",Middle-Aged,,,
03/04/2023,"['Vinegar', 'Milk', Salt, 'Tissues']",Middle-Aged,,,
03/04/2023,"['Broom', 'Banana', 'Rice','Dhal' ]",Homemaker,,,
03/04/2023,"['Bread', 'Saftey Razor Blade', 'Nuts', 'Apple']",Teenager,,,
03/04/2023,"['Trash Bags', 'Light Bulbs', 'Tissues']",Teenager,,,
03/04/2023,"['Paper Towel For Faces', 'Vegetables', 'Toothpaste',  'Tongue Cleaner']",Young Adult,,,
03/04/2023,['Stationery'],Young Adult,,,
03/04/2023,"['Rice','Spices', 'Juices','Chips', 'Olive Oil']",Young Adult,,,
03/04/2023,"['Trash Bags', 'Carrots', 'Insect Repellent', 'Toilet Freshner']",Senior Citizen,,,
03/04/2023,"['Eggs', 'Onions', 'Pickles', 'Nuts']",Homemaker,,,
03/04/2023,"['Dustpan', 'Chocolate']",Teenager,,,
03/04/2023,"['Toothbrush', 'Broom', 'Carrots', Salt, 'Orange']",Young Adult,,,
03/04/2023,"['Peanut Butter', 'Tea','Biscuit', 'Insect Repellent', 'Dish Soap']",Homemaker,,,
03/04/2023,"['Chips', 'Air Freshener', 'Milk']",Homemaker,,,
03/04/2023,"['Deodorant', 'Cleaning Spray', 'Dish Soap']",Middle-Aged,,,
03/04/2023,"['Vinegar', 'Spinach', Salt, 'Broom', 'Olive Oil']",Middle-Aged,,,
03/04/2023,"['Honey', 'Nuts', 'Body wash', 'Bread', 'Nuts']",Middle-Aged,,,
03/04/2023,"['Bread', 'Paper Towel For Faces']",Homemaker,,,
03/04/2023,"['Deodorant', 'Stationery', 'Black pepper', 'Stationery']",Young Adult,,,
03/04/2023,['Vinegar'],Homemaker,,,
03/04/2023,"['Vegetables', 'Diapers', 'Hair Gel', 'Soap']",Senior Citizen,,,
03/04/2023,['Toothbrush'],Middle-Aged,,,
03/04/2023,"['Potatoes', 'Rice','Spices', 'Olive Oil', 'Tomatoes']",Young Adult,,,
03/04/2023,"['Spices', 'Hair Gel', 'Bread', 'Potatoes']",Senior Citizen,,,
03/04/2023,"['Olive Oil', 'Honey', 'Chocolate']",Senior Citizen,,,
03/04/2023,"['Yogurt', 'Chocolate']",Middle-Aged,,,
03/04/2023,"['Spinach','Rice','Dhal', 'Spices']",Middle-Aged,,,
03/04/2023,"['Mop', 'Mustard', 'Sugar', 'Olive Oil', 'Saftey Razor Blade']",Young Adult,,,
03/04/2023,"['Pickles', 'Chips', 'Laundry Detergent']",Young Adult,,,
03/04/2023,"['Apple', 'Spices', 'Orange']",Homemaker,,,
03/04/2023,['Ice Cream'],Teenager,,,
03/04/2023,['Air Freshener'],Senior Citizen,,,
03/04/2023,"['Cooking Oil', 'Dishwash scrubber', 'Deodorant']",Homemaker,,,
03/04/2023,"['Bread', 'Vinegar', 'Tomatoes', 'Cereal', 'Paper Towel For Faces']",Senior Citizen,,,
03/04/2023,"['Broom', 'Cheese', 'Sugar']",Senior Citizen,,,
03/04/2023,"['Wheat Rava','Rice','Dhal']",Senior Citizen,,,
03/04/2023,"['Milk', 'Paper Towel For Faces', 'Ketchup']",Young Adult,,,
03/04/2023,"['Spices', 'Air Freshener', 'Coconut oil']",Senior Citizen,,,
03/04/2023,"['Pickles', 'Eggs']",Young Adult,,,
03/04/2023,"['Vegetables','Rice','Dhal']",Senior Citizen,,,
03/04/2023,"['Yogurt','Ice Cream']",Senior Citizen,,,
03/04/2023,['Body wash'],Teenager,,,
03/04/2023,"['Pasta', 'Potatoes', 'Olive Oil', 'Rice','Dhal']",Young Adult,,,
03/04/2023,"['Deodorant', 'Nuts']",Middle-Aged,,,
03/04/2023,"['Cleaning Spray', 'Milk']",Senior Citizen,,,
03/04/2023,"['Bread', 'Body wash']",Senior Citizen,,,
03/04/2023,"['Dishwash scrubber', 'Shaving Cream', 'Diapers']",Homemaker,,,
03/04/2023,"['Chocolate','Ice Cream']",Middle-Aged,,,
03/04/2023,['Toothbrush'],Middle-Aged,,,
03/04/2023,"['Bread', 'Power Strips', 'Toothpaste',  'Tongue Cleaner', 'Vinegar']",Middle-Aged,,,
03/04/2023,"['Soap', 'Toothpaste',  'Tongue Cleaner', 'Air Freshener']",Middle-Aged,,,
03/04/2023,"['Milk', 'Body wash']",Homemaker,,,
03/04/2023,"['Rice','Dhal']",Young Adult,,,
03/04/2023,"['Pasta','Ice Cream']",Young Adult,,,
03/04/2023,"['Broom', 'Soda']",Middle-Aged,,,
03/04/2023,['Cereal Bars'],Young Adult,,,
03/04/2023,"['Eggs', 'Jam','Bread', 'Diapers', 'Toothbrush', 'Cereal Bars']",Senior Citizen,,,
03/04/2023,"['Stationery', 'Dustpan', 'Cleaner', 'Spices','Rice','Dhal']",Teenager,,,
03/04/2023,"['Feminine Hygiene Products','Paper Towel for Faces', 'Eggs']",Teenager,,,
03/04/2023,"['Vinegar','Rice','Dhal']",Middle-Aged,,,
03/04/2023,"['Dish Soap', 'Mop', 'Baby Wipes']",Young Adult,,,
03/04/2023,"['Yogurt', 'Hair Gel']",Young Adult,,,
03/04/2023,"['Spinach', 'Rice','Dhal','Sugar']",Middle-Aged,,,
03/04/2023,"['Cereal', 'Vinegar', 'Feminine Hygiene Products','Paper Towel for Faces', 'Wheat Flour']",Teenager,,,
03/04/2023,"['Feminine Hygiene Products','Paper Towel for Faces', 'Ragi Malt', 'Saftey Razor Blade', 'Ice Cream', 'Insect Repellent']",Young Adult,,,
03/04/2023,"['Cheese','Ice Cream','Rice','Dhal']",Young Adult,,,
03/04/2023,"['Rice','Spices', 'Toothpaste',  'Tongue Cleaner', 'Cereal Bars', 'Kambu Rice']",Middle-Aged,,,
03/04/2023,"['Shower Gel', 'Potatoes', 'Yogurt', 'Hand Sanitizer']",Young Adult,,,
03/04/2023,"['Dustpan', 'Milk', 'Wheat Rava', 'Toothpaste',  'Tongue Cleaner', 'Deodorant']",Homemaker,,,
03/04/2023,"['Ragi Malt', 'Chocolate', 'Dishwash scrubber', 'Eggs']",Senior Citizen,,,
03/04/2023,"['Vegetables', 'Honey', 'Pickles']",Senior Citizen,,,
03/04/2023,"['Yogurt', 'Spinach', 'Rice','Dhal']",Young Adult,,,
03/04/2023,"['Tea','Biscuit', 'Deodorant', 'Broom', 'Ice Cream']",Middle-Aged,,,
04/04/2023,"['Deodorant', 'Eggs','Rice','Dhal']",Middle-Aged,,,
04/04/2023,"['Sugar', 'Vinegar', 'Deodorant']",Middle-Aged,,,
04/04/2023,"['Cleaning Spray', 'Olive Oil']",Homemaker,,,
04/04/2023,"['Eggs', 'Chips', 'Shaving Cream', 'Pasta']",Young Adult,,,
04/04/2023,"['Ketchup', 'Baby Wipes', 'Plant Fertilizer', 'Nuts', 'Cheese']",Young Adult,,,
04/04/2023,"['Stationery', 'Ragi Malt', 'Toilet Freshner']",Senior Citizen,,,
04/04/2023,"['Coffee','Biscuit', Salt, 'Cereal', 'Laundry Detergent']",Senior Citizen,,,
04/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Diapers', 'Milk', 'Baby Wipes']",Teenager,,,
04/04/2023,"['Light Bulbs', 'Power Strips', 'Stationery', 'Peanut Butter']",Homemaker,,,
04/04/2023,"['Banana', 'Black pepper', 'Kambu Rice', 'Toothpaste',  'Tongue Cleaner']",Young Adult,,,
04/04/2023,"['Shaving Cream', 'Soda', 'Olive Oil', 'Carrots', 'Hair Gel']",Middle-Aged,,,
04/04/2023,"['Dish Soap','Rice','Dhal']",Young Adult,,,
04/04/2023,"['Carrots', 'Vinegar', 'Wheat Rava','Rice','Dhal']",Young Adult,,,
04/04/2023,"['Toilet Freshner', 'Soda','Rice','Dhal']",Teenager,,,
04/04/2023,"['Plant Fertilizer', 'Yogurt', 'Cereal', 'Dishwash scrubber', 'Toothbrush']",Senior Citizen,,,
04/04/2023,"['Vinegar', 'Cereal Bars']",Senior Citizen,,,
04/04/2023,"['Insect Repellent', 'Toothbrush']",Teenager,,,
04/04/2023,"['Mop', 'Soda', 'Light Bulbs', 'Paper Towel For Faces']",Teenager,,,
04/04/2023,"['Onions','Rice','Dhal']",Middle-Aged,,,
04/04/2023,"['Toilet Freshner', 'Juices','Chips', 'Soda']",Middle-Aged,,,
04/04/2023,"['Tomatoes', 'Cooking Oil', 'Diapers', 'Pasta', 'Tissues','Rice','Dhal']",Senior Citizen,,,
04/04/2023,"['Cereal Bars', 'Body wash', 'Air Freshener']",Young Adult,,,
04/04/2023,"['Orange', 'Hand Sanitizer']",Young Adult,,,
04/04/2023,"['Stationery', 'Bread', 'Broom', 'Coffee','Biscuit', 'Dhal']",Young Adult,,,
04/04/2023,"['Peanut Butter', 'Deodorant']",Middle-Aged,,,
04/04/2023,"['Chocolate', 'Cereal', 'Hair Gel', 'Cleaning Spray', 'Vegetables']",Teenager,,,
04/04/2023,"['Olive Oil', 'Shampoo', 'Kambu Rice', 'Yogurt', 'Nuts']",Young Adult,,,
04/04/2023,"['Spinach', 'Yogurt', 'Cereal']",Senior Citizen,,,
04/04/2023,"['Shampoo','Bathing soap']",Senior Citizen,,,
04/04/2023,"['Dishwash scrubber', 'Body wash', 'Broom']",Middle-Aged,,,
04/04/2023,"['Olive Oil', 'Insect Repellent', 'Olive Oil', 'Mustard']",Teenager,,,
04/04/2023,"['Milk', 'Light Bulbs']",Senior Citizen,,,
04/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Shampoo', 'Nuts', 'Vinegar', 'Cooking Oil']",Middle-Aged,,,
04/04/2023,"['Soda', 'Spices', 'Rice','Dhal', 'Potatoes']",Middle-Aged,,,
04/04/2023,['Vinegar'],Young Adult,,,
04/04/2023,"['Cleaner', 'Pickles', 'Paper Towel For Faces', 'Ice Cream', 'Mustard']",Young Adult,,,
04/04/2023,"['Carrots', 'Saftey Razor Blade']",Middle-Aged,,,
04/04/2023,"['Wheat Rava','Rice','Dhal']",Middle-Aged,,,
04/04/2023,"['Paper Towel For Faces', 'Honey', 'Kambu Rice', 'Milk', 'Sugar']",Homemaker,,,
04/04/2023,"['Shower Gel', 'Light Bulbs', 'Dustpan']",Middle-Aged,,,
04/04/2023,"['Rice','Dhal']",Senior Citizen,,,
04/04/2023,"['Yogurt', 'Tissues', 'Yogurt', 'Diapers', 'Coffee','Biscuit']",Senior Citizen,,,
04/04/2023,"['Toothpaste',  'Tongue Cleaner', 'Trash Bags', 'Baby Wipes']",Teenager,,,
04/04/2023,"['Toothbrush', 'Carrots', 'Eggs','Rice','Dhal', 'Soda']",Teenager,,,
04/04/2023,"['Cleaner', 'Semiya', 'Stationery', 'Carrots']",Young Adult,,,
04/04/2023,"['Stationery', 'Hair Gel', 'Milk', 'Dish Soap']",Homemaker,,,
04/04/2023,"['Pickles', 'Mustard', 'Juices','Chips', 'Cooking Oil', 'Saftey Razor Blade']",Middle-Aged,,,
04/04/2023,"['Dustpan', 'Tissues', 'Milk', 'Plant Fertilizer']",Middle-Aged,,,
04/04/2023,"['Shower Gel', 'Vinegar', 'Stationery', 'Onions']",Young Adult,,,
04/04/2023,"['Toilet Freshner', 'Tomatoes','Rice','Dhal', 'Milk']",Young Adult,,,
04/04/2023,"['Soap', 'Tissues', 'Stationery', 'Cleaning Spray', 'Yogurt']",Middle-Aged,,,
04/04/2023,"['Cleaner', 'Apple', 'Baby Wipes']",Young Adult,,,
04/04/2023,"['Toothpaste',  'Tongue Cleaner']",Senior Citizen,,,
04/04/2023,"['Coffee','Biscuit']",Middle-Aged,,,
04/04/2023,"['Cleaning Spray', 'Wheat Rava', 'Wheat Flour', 'Light Bulbs']",Middle-Aged,,,
04/04/2023,"['Saftey Razor Blade', 'Jam','Bread', 'Vinegar', 'Saftey Razor Blade', 'Chips']",Young Adult,,,
04/04/2023,"['Tea','Biscuit','Ice Cream']",Young Adult,,,
04/04/2023,"['Coconut oil','Rice','Dhal', 'Peanut Butter', 'Potatoes', 'Deodorant']",Homemaker,,,
04/04/2023,"['Broom', 'Laundry Detergent']",Young Adult,,,
04/04/2023,['Wheat Flour'],Young Adult,,,
04/04/2023,"['Nuts', 'Cereal Bars', 'Paper Towel For Faces', 'Toothbrush']",Young Adult,,,
